SELIC,USD_VALOR,ACEITO/OFERTADO,DURACAO,TAXA_ULTIMO_LEILAO,REJEICAO_MERCADO,TAXA
0.052531,4.0213,0.1011,3833,7.27,1,7.07
0.052531,4.0213,0.1853333333333333,14333,7.25,0,7.2
0.052531,4.0213,0.347,7028,7.33,0,7.2
0.052531,4.0213,0.8989,1915,6.96,0,6.757
0.052531,3.9913,0.5523333333333333,7014,7.2,0,7.3
0.052531,3.9913,0.06292,3819,7.07,1,6.95
0.052531,3.9913,0.242,14319,7.2,0,7.3
0.052531,3.9913,0.87968,1901,6.757,0,6.64
0.052531,3.7116,0.8,7000,7.3,0,6.725
0.052531,3.7116,0.033,3805,6.95,1,6.72
0.052531,3.7116,0.4672,1887,6.64,0,6.57
0.052531,3.7116,0.2,14305,7.3,0,6.757
0.052531,3.6687,0.6966666666666667,6986,6.725,0,6.32
0.052531,3.6687,0.10505,3791,6.72,1,6.35
0.052531,3.6687,0.8712,1873,6.57,0,6.159
0.052531,3.6687,0.3033333333333333,14291,6.757,0,6.31
0.052531,3.5406,0.2372,3777,6.35,0,6.48
0.052531,3.5406,0.6466666666666666,14277,6.31,0,6.39
0.052531,3.5406,0.3533333333333333,6972,6.32,0,6.35
0.052531,3.5406,0.171,1859,6.159,0,6.44
0.052531,3.5301,0.6483333333333333,6958,6.35,0,6.26
0.052531,3.5301,0.3516666666666667,14263,6.39,0,6.25
0.052531,3.5301,0.2237,3763,6.48,0,6.3
0.052531,3.5301,0.4448,1845,6.44,0,6.3
0.052531,3.4772,0.6413333333333333,6944,6.26,0,6.02
0.052531,3.4772,0.9497,1831,6.3,0,6.16
0.052531,3.4772,0.0503,3749,6.3,1,6.069
0.052531,3.4772,0.3586666666666667,14249,6.25,0,6.02
0.052531,3.5491,0.86175,1817,6.16,0,6.14
0.052531,3.5491,0.13825,3735,6.069,1,6.0
0.052531,3.5491,0.469,6930,6.02,0,6.0485
0.052531,3.5491,0.357,14235,6.02,0,6.04
0.052531,3.4745,0.5433333333333333,6916,6.0485,0,6.12
0.052531,3.4745,0.13805,3721,6.0,1,6.05
0.052531,3.4745,0.47535,1803,6.14,0,6.12
0.052531,3.4745,0.4566666666666666,14221,6.04,0,6.1
0.052531,3.3897,0.3356666666666666,6902,6.12,0,6.08
0.052531,3.3897,0.11435,3707,6.05,1,6.16
0.052531,3.3897,0.6829,1789,6.12,0,6.19
0.052531,3.3897,0.1773333333333333,14207,6.1,0,6.09
0.052531,3.2904,0.88595,1775,6.19,0,6.309
0.052531,3.2904,0.11405,3693,6.16,1,6.1989
0.052531,3.2904,0.1093333333333333,14193,6.09,1,6.04
0.052531,3.2904,0.1326666666666666,6888,6.08,1,6.1
0.052531,3.2801,0.5684,1761,6.309,0,6.162
0.052531,3.2801,0.2027,3679,6.1989,0,6.08
0.052531,3.2801,0.2269,6874,6.1,0,5.9
0.052531,3.2801,0.7731,14179,6.04,0,5.84
0.052531,3.249,0.9039,1747,6.162,0,6.2258
0.052531,3.249,0.4753333333333333,6860,5.9,0,5.87
0.052531,3.249,0.0961,3665,6.08,1,5.97
0.052531,3.249,0.4473333333333333,14165,5.84,0,5.76
0.052531,3.1749,0.3761666666666666,6846,5.87,0,5.67
0.052531,3.1749,0.0937666666666666,3651,5.97,1,5.82
0.052531,3.1749,0.5986,1733,6.2258,0,6.06
0.052531,3.1749,0.0503333333333333,14151,5.76,1,5.65
0.052531,3.2525,0.4476666666666666,14137,5.65,0,5.82
0.052531,3.2525,0.773275,1719,6.06,0,6.23
0.052531,3.2525,0.5523333333333333,6832,5.67,0,5.8488
0.052531,3.2525,0.0674,3637,5.82,1,5.94
0.052531,3.2972,0.788,6818,5.8488,0,5.938
0.052531,3.2972,0.22135,3623,5.94,0,5.9608
0.052531,3.2972,0.1406666666666666,14123,5.82,1,5.88
0.052531,3.2972,0.77865,1705,6.23,0,6.21
0.052531,3.2358,0.2103333333333333,6804,5.938,0,5.8099
0.052531,3.2358,0.335925,3609,5.9608,0,5.87
0.052531,3.2358,0.7896666666666666,14109,5.88,0,5.759
0.052531,3.2358,0.56465,1691,6.21,0,6.05
0.052531,3.2136,0.43078,3595,5.87,0,5.8
0.052531,3.2136,0.37,14095,5.759,0,5.66
0.052531,3.2136,0.56922,1677,6.05,0,5.962
0.052531,3.2136,0.256,6790,5.8099,0,5.7
0.05166,3.1193,0.42396,1663,5.962,0,5.92
